tweetId,UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
1907583565354647892,@RpsAgainstTrump,Republicans against Trump,2025-04-02T23:58:57.000Z,"BREAKING: The Senate voted 51–48 to pass a resolution blockingTrump’s Canadian tariffs from taking effect. Four Republicans — Sens. Susan Collins, Mitch McConnell, Rand Paul, and Lisa Murkowski — joined all 47 Democrats in supporting the measure.","BREAKING: The Senate voted 51–48 to pass a resolution blockingTrump’s Canadian tariffs from taking effect. Four Republicans — Sens. Susan Collins, Mitch McConnell, Rand Paul, and Lisa Murkowski — joined all 47 Democrats in supporting the measure.",,1500,102978,11524,https://pbs.twimg.com/media/GnkZJB0XsAA_-9n?format=jpg&name=small,/RpsAgainstTrump/status/1907583565354647892
1907583794464673929,@IanJaeger29,Ian Jaeger,2025-04-02T23:59:52.000Z,"PresidentTrumpon Oprah Winfrey’s show in 1988.

“I’d make our allies pay their fair share.”

Today he did just that.","PresidentTrumpon Oprah Winfrey’s show in 1988.

“I’d make our allies pay their fair share.”

Today he did just that.",,1014,54209,15446,https://pbs.twimg.com/amplify_video_thumb/1826436110123196416/img/2lNGkn131bvPkRf6.jpg,/IanJaeger29/status/1907583794464673929
1907583527836647700,@INSPIREDWC125,Christopher Howard Martin,2025-04-02T23:58:48.000Z,#Trump:#TheGreatDepressionwouldn’t have happened “if they had stayed with the tariffs.”#TrumpTariffs#TrumpRecession#Reality:,#Trump:#TheGreatDepressionwouldn’t have happened “if they had stayed with the tariffs.”#TrumpTariffs#TrumpRecession#Reality:,,7,75,19,https://pbs.twimg.com/ext_tw_video_thumb/1907583507854946304/pu/img/Jui8JcPwBCVE-VVE.jpg,/INSPIREDWC125/status/1907583527836647700
1907583560648626522,@WWBitcoin,World War Bitcoin,2025-04-02T23:58:56.000Z,TheTrumptariffs were much worse than expected and now the market is readjusting. Thoughts below.,TheTrumptariffs were much worse than expected and now the market is readjusting. Thoughts below.,,3,45,5,https://pbs.twimg.com/ext_tw_video_thumb/1907583462837510145/pu/img/CcnMD1xi7lOmYHcH.jpg,/WWBitcoin/status/1907583560648626522
1907545246457647153,@TheOnion,The Onion,2025-04-02T21:26:41.000Z,TrumpSays Recession Unfortunate But Necessary Step To Get To Depression,TrumpSays Recession Unfortunate But Necessary Step To Get To Depression,,102,18923,3216,https://pbs.twimg.com/card_img/1967690215096504320/lZFBpg2e?format=jpg&name=small,/TheOnion/status/1907545246457647153
1907583635953213594,@BitcoinBombadil,₿itcoin ₿ombadil,2025-04-02T23:59:14.000Z,Smoot and Hawley approve ofTrump’s Tariff Strategy.,Smoot and Hawley approve ofTrump’s Tariff Strategy.,,0,1,0,https://pbs.twimg.com/media/GnkZNN9WwAAsJ96?format=jpg&name=small,/BitcoinBombadil/status/1907583635953213594
1907583791482147116,@AprilSpark1890,𝓐𝓟𝓡𝓘𝓛 𝓢𝓟𝓐𝓡𝓚𝓢,2025-04-02T23:59:51.000Z,"What an embarrassment to Texas“I voted forTrumpbut now I’m voting Democrat and am voting for you Beto”, said NO person with common sense ever in there life.","What an embarrassment to Texas“I voted forTrumpbut now I’m voting Democrat and am voting for you Beto”, said NO person with common sense ever in there life.",👀 🤡 🤡 👀 🤡 👀,22,63,56,https://pbs.twimg.com/amplify_video_thumb/1907583728882176000/img/C36s73ZFEnskYlRO.jpg,/AprilSpark1890/status/1907583791482147116
1907583769780830295,@kyledcheney,Kyle Cheney,2025-04-02T23:59:46.000Z,"NEW: A divided appeals court is sending Jan. 6 defendant Dan Wilson to prison on unrelated gun charges, rejecting his argument thatTrump's pardon covered those crimes too.

w/@joshgersteinhttps://politico.com/news/2025/04/02/appeals-court-trump-pardon-plainly-did-not-cover-jan-6-defendants-unrelated-crimes-00267770…","NEW: A divided appeals court is sending Jan. 6 defendant Dan Wilson to prison on unrelated gun charges, rejecting his argument thatTrump's pardon covered those crimes too.

w/@joshgersteinhttps://politico.com/news/2025/04/02/appeals-court-trump-pardon-plainly-did-not-cover-jan-6-defendants-unrelated-crimes-00267770…",,14,374,157,https://pbs.twimg.com/media/GnkZJdTXwAAYM8c?format=png&name=small,/kyledcheney/status/1907583769780830295
1907583821706571882,@RealJakeBroe,Jake Broe,2025-04-02T23:59:58.000Z,The Russians will not stop this war and refuse to respect any ceasefire.  More and more the Russians are ignoringTrumpand refusing to play along with him and pretend like they want to stop this war.  Putin announced largest conscription drive in 14 years enlarging his military,The Russians will not stop this war and refuse to respect any ceasefire.  More and more the Russians are ignoringTrumpand refusing to play along with him and pretend like they want to stop this war.  Putin announced largest conscription drive in 14 years enlarging his militaryShow more,,30,541,147,https://pbs.twimg.com/media/GnkZVFSbkAABYie?format=jpg&name=small,/RealJakeBroe/status/1907583821706571882
1907583782514729110,@Lawrence,Lawrence O'Donnell,2025-04-02T23:59:49.000Z,Huge loss forTrumptonight.@TheLastWord10pm,Huge loss forTrumptonight.@TheLastWord10pm,,48,2315,487,,/Lawrence/status/1907583782514729110
1907583547327787042,@60Mins,60 Minutes Australia,2025-04-02T23:58:53.000Z,"Prime Minister Anthony Albanese has condemnedDonald Trump's sweeping 'Liberation Day' tariffs, with the US President singling out Australian beef during his announcements.

Australia will be subject to a ""baseline"" 10 per cent tariff on all exports to the US, while countries","Prime Minister Anthony Albanese has condemnedDonald Trump's sweeping 'Liberation Day' tariffs, with the US President singling out Australian beef during his announcements.

Australia will be subject to a ""baseline"" 10 per cent tariff on all exports to the US, while countriesShow more",,3,8,4,https://pbs.twimg.com/profile_images/1833299896541319169/_EcwMRwC_bigger.jpg https://pbs.twimg.com/media/GnkZGuXbEAAtFJq?format=jpg&name=small,/60Mins/status/1907583547327787042
1907583810700472518,@KimJonTrump3,SchumerMustGo,2025-04-02T23:59:56.000Z,"#MAGA, I hope you are looking forward toTrump's homeless internment camps. Until then, I'll try not to step on you in the streets.","#MAGA, I hope you are looking forward toTrump's homeless internment camps. Until then, I'll try not to step on you in the streets.",🌻,1,0,0,,/KimJonTrump3/status/1907583810700472518
1907583761379897355,@ProudVeteran72,ProudVeteran1972,2025-04-02T23:59:44.000Z,Liberation Day Tariffs#Wednesdayvibe#TrumpTariffs#Trump,Liberation Day Tariffs#Wednesdayvibe#TrumpTariffs#Trump,,0,4,3,https://pbs.twimg.com/media/GnkZUfDaMAEAEt8?format=jpg&name=small,/ProudVeteran72/status/1907583761379897355
1907583616978149684,@PressReporter07,The Press Reporter,2025-04-02T23:59:10.000Z,"Donald TrumpAnnounces 26% ""Discounted Reciprocal Tariff"" On India -https://thepressreporter.in/donald-trump-announces-26-discounted-reciprocal-tariff-on-india/…","Donald TrumpAnnounces 26% ""Discounted Reciprocal Tariff"" On India -https://thepressreporter.in/donald-trump-announces-26-discounted-reciprocal-tariff-on-india/…",,0,0,0,https://pbs.twimg.com/media/GnkZMNxX0AAfnw_?format=jpg&name=small,/PressReporter07/status/1907583616978149684
1907583788026130487,@joseph_deal,Deplorable Joe Deal,2025-04-02T23:59:50.000Z,The RedSquirrel Report:Donald Trumpand Elon Musk ARE NAZIS!!!!!https://theredsquirrelreport.blogspot.com/2025/03/donald-trump-and-elon-musk-are-nazis.html?spref=tw…,The RedSquirrel Report:Donald Trumpand Elon Musk ARE NAZIS!!!!!https://theredsquirrelreport.blogspot.com/2025/03/donald-trump-and-elon-musk-are-nazis.html?spref=tw…,,0,0,0,https://pbs.twimg.com/media/GnkZT0nWUAAweKS?format=jpg&name=small,/joseph_deal/status/1907583788026130487
1907583693369258436,@pushpendrakum,Pushpendra Singh,2025-04-02T23:59:28.000Z,"US President,Donald Trump, has announced to apply a 26% tariff on imports from India#LiberationDay#DonaldTrump#Modi#Tariffs#India#US","US President,Donald Trump, has announced to apply a 26% tariff on imports from India#LiberationDay#DonaldTrump#Modi#Tariffs#India#US",,23,166,33,https://pbs.twimg.com/media/GnkZQZBbsAAgkcq?format=jpg&name=small,/pushpendrakum/status/1907583693369258436
1907583643960189037,@alphapumpsdev,Jak O' Kek,2025-04-02T23:59:16.000Z,Trumptariffs kickin it,Trumptariffs kickin it,🐸 🤣 😭,0,0,0,https://pbs.twimg.com/media/GnkZNxOW8AAp2uC?format=jpg&name=small,/alphapumpsdev/status/1907583643960189037
1907583748037652567,@jclg18,Juan Carlos Lopez,2025-04-02T23:59:41.000Z,TrumpGoes Crazy on Tradehttps://open.substack.com/pub/paulkrugman/p/trump-goes-crazy-on-trade?r=5ggro9&utm_campaign=post&utm_medium=web&showWelcomeOnShare=false…,TrumpGoes Crazy on Tradehttps://open.substack.com/pub/paulkrugman/p/trump-goes-crazy-on-trade?r=5ggro9&utm_campaign=post&utm_medium=web&showWelcomeOnShare=false…,,0,0,0,,/jclg18/status/1907583748037652567
1907583533918597469,@NORTHAMEDIA,Denali,2025-04-02T23:58:50.000Z,"This clip will go down in history:

At 4:25 PM ET, S&P 500 futures were trading +1.7% higher.

At 4:26 PM ET, Howard Lutnick handed a poster outlining ""reciprocal tariffs"" to PresidentTrump.

Stock market futures fell REAL-TIME asTrumpread off tariffs name by name.","This clip will go down in history:

At 4:25 PM ET, S&P 500 futures were trading +1.7% higher.

At 4:26 PM ET, Howard Lutnick handed a poster outlining ""reciprocal tariffs"" to PresidentTrump.

Stock market futures fell REAL-TIME asTrumpread off tariffs name by name.Show more",📉,0,2,0,https://pbs.twimg.com/amplify_video_thumb/1907583480852099072/img/aaewrHl7Lvx85NWM.jpg https://pbs.twimg.com/profile_images/1901673188767027200/x2VQJvXM_mini.jpg https://pbs.twimg.com/media/Gnj9D63WEAAgEOo?format=jpg&name=240x240,/NORTHAMEDIA/status/1907583533918597469
1907583503601954835,@LincolnSquareHQ,Lincoln Square,2025-04-02T23:58:43.000Z,"Rep. Melanie Stansbury (D-NM) ticks off a list of theTrump administration’s abuse of power and implores her fellow colleagues to “Stand up! Have a backbone!”

We’re loving her!!","Rep. Melanie Stansbury (D-NM) ticks off a list of theTrump administration’s abuse of power and implores her fellow colleagues to “Stand up! Have a backbone!”

We’re loving her!!",,4,1111,429,https://pbs.twimg.com/ext_tw_video_thumb/1907583452087508992/pu/img/v3D2s63BkdDXMekk.jpg,/LincolnSquareHQ/status/1907583503601954835
1907583800126878080,@_DGTrades,David R Gallo,2025-04-02T23:59:53.000Z,"I would like to clarify how Tesla will be impacted moving forward with the newTrumpTariffs ...-Trump’s new reciprocal tariffs, announced in early 2025, exclude auto parts, steel, and aluminum, which benefits Tesla since it manufactures 100% of its U.S. vehicles","I would like to clarify how Tesla will be impacted moving forward with the newTrumpTariffs ...-Trump’s new reciprocal tariffs, announced in early 2025, exclude auto parts, steel, and aluminum, which benefits Tesla since it manufactures 100% of its U.S. vehiclesShow more",👇,4,33,7,https://pbs.twimg.com/media/GnkZWy9XMAEmh4_?format=jpg&name=small,/_DGTrades/status/1907583800126878080
1907583737774198942,@EamonJavers,Eamon Javers,2025-04-02T23:59:38.000Z,"And to be clear, I should say this is +54 percent underTrumpthis year. That’s also on top of pre-existing tariffs on Chinese products.",Replying to@EamonJavers,,16,801,82,,/EamonJavers/status/1907583737774198942
1907583500028358694,@Thornbloom4Real,TheRealThornbloom,2025-04-02T23:58:42.000Z,Executive Orders are not laws andDonald Trumpis not an American.,Executive Orders are not laws andDonald Trumpis not an American.,🗿 🎼 ⚡ 😈,0,0,0,,/Thornbloom4Real/status/1907583500028358694
1907583694279422402,@devahaz,Deva Hazarika,2025-04-02T23:59:28.000Z,Trumpadmin to a bunch of new fans,Trumpadmin to a bunch of new fans,,3,16,2,https://pbs.twimg.com/tweet_video_thumb/GnkZQgDbMAASUEK.jpg,/devahaz/status/1907583694279422402
